year,Base case diesel consumed,Modeled wind power
2019,213003.406425,154757.509638
2020,213684.363607,155438.46682
2021,214569.607943,156323.711156
2022,215318.660843,157072.764056
2023,216135.809461,157889.912674
2024,216884.86236,158638.965574
2025,217702.010978,159456.114192
2026,218451.063878,160205.167092
2027,219336.308214,161090.411428
2028,220357.743987,162111.8472
2029,220357.743987,162111.8472
2030,220766.318296,162520.421509
2031,221651.562632,163405.665846
2032,223217.76415,164971.867363
2033,225056.34854,166810.451754
2034,226963.028649,168717.131863
2035,228869.708758,170623.811971
2036,230640.19743,172394.300644
2037,232478.781821,174232.885034
2038,234453.557647,176207.660861
