year,Base case diesel consumed,Port frederick (unnamed stream) -- unnamed creek,Humpback creek (chichagof island),Steve kane creek,Shotter creek
2021,214569.607943,213965.978155,190424.416417,208533.31006,208533.31006
2022,215318.660843,214715.031054,191173.469316,209282.36296,209282.36296
2023,216135.809461,215532.179672,191990.617934,210099.511578,210099.511578
2024,216884.86236,216281.232572,192739.670834,210848.564478,210848.564478
2025,217702.010978,217098.38119,193556.819452,211665.713096,211665.713096
2026,218451.063878,217847.43409,194305.872352,212414.765995,212414.765995
2027,219336.308214,218732.678426,195191.116688,213300.010332,213300.010332
2028,220357.743987,219754.114199,196212.552461,214321.446104,214321.446104
2029,220357.743987,219754.114199,196212.552461,214321.446104,214321.446104
2030,220766.318296,220162.688508,196621.12677,214730.020413,214730.020413
2031,221651.562632,221047.932844,197506.371106,215615.264749,215615.264749
2032,223217.76415,222614.134362,199072.572624,217181.466267,217181.466267
2033,225056.34854,224452.718752,200911.157014,219020.050658,219020.050658
2034,226963.028649,226359.398861,202817.837123,220926.730766,220926.730766
2035,228869.708758,228266.07897,204724.517232,222833.410875,222833.410875
2036,230640.19743,230036.567642,206495.005904,224603.899547,224603.899547
2037,232478.781821,231875.152032,208333.590294,226442.483938,226442.483938
2038,234453.557647,233849.927859,210308.366121,228417.259765,228417.259765
2039,236700.716347,236097.086559,212555.524821,230664.418464,230664.418464
2040,239220.257919,238616.628131,215075.066393,233183.960036,233183.960036
2041,241875.990928,241272.361139,217730.799401,235839.693045,235839.693045
2042,244599.819654,243996.189866,220454.628128,238563.521771,238563.521771
2043,247391.744099,246788.114311,223246.552573,241355.446216,241355.446216
2044,250387.955698,249784.32591,226242.764172,244351.657816,244351.657816
2045,253452.263016,252848.633228,229307.07149,247415.965133,247415.965133
2046,256788.953206,256185.323418,232643.76168,250752.655323,250752.655323
2047,260261.834833,259658.205044,236116.643306,254225.53695,254225.53695
2048,263870.907895,263267.278107,239725.716369,257834.610013,257834.610013
2049,267548.076676,266944.446888,243402.88515,261511.778794,261511.778794
2050,271429.532612,270825.902824,247284.341086,265393.234729,265393.234729
