year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,25886.0,21021.8629205
2018,25886.0,21021.8629205
2019,25886.0,21021.8629205
2020,25886.0,21021.8629205
2021,25086.0,20221.8629205
2022,25086.0,20221.8629205
2023,25086.0,20221.8629205
2024,25886.0,21021.8629205
2025,25886.0,21021.8629205
2026,25886.0,21021.8629205
2027,25886.0,21021.8629205
2028,25886.0,21021.8629205
2029,27486.0,22621.8629205
2030,29086.0,24221.8629205
2031,29886.0,25021.8629205
2032,29086.0,24221.8629205
2033,28286.0,23421.8629205
2034,27486.0,22621.8629205
2035,27486.0,22621.8629205
2036,27486.0,22621.8629205
