year,Base case diesel consumed,Modeled transmission and interties
2021,77994.7447892,38997.3723946
2022,77994.7447892,38997.3723946
2023,77887.7561132,38943.8780566
2024,77887.7561132,38943.8780566
2025,77780.7674372,38890.3837186
2026,77673.7787613,38836.8893806
2027,77566.7900853,38783.3950426
2028,77352.8127333,38676.4063667
2029,77459.8014093,38729.9007047
2030,77352.8127333,38676.4063667
2031,77245.8240573,38622.9120287
2032,77031.8467054,38515.9233527
2033,76817.8693534,38408.9346767
2034,76603.8920015,38301.9460007
2035,76282.9259735,38141.4629868
2036,76068.9486216,38034.4743108
2037,75854.9712696,37927.4856348
2038,75640.9939176,37820.4969588
2039,75320.0278897,37660.0139449
2040,75106.0505378,37553.0252689
