year,Base case diesel consumed,"Ouzinkie (unnamed stream, site #1) -- unnamed creek, 1","Ouzinkie (unnamed stream, site #2) -- unnamed creek 2"
2021,30063.8179503,0.0,0.0
2022,30063.8179503,0.0,0.0
2023,30010.3236123,-53.4943379899,-53.4943379899
2024,30010.3236123,-53.4943379899,-53.4943379899
2025,29956.8292743,-106.98867598,-106.98867598
2026,29903.3349363,-160.48301397,-160.48301397
2027,29849.8405983,-213.977351959,-213.977351959
2028,29742.8519224,-320.966027939,-320.966027939
2029,29796.3462603,-267.471689949,-267.471689949
2030,29742.8519224,-320.966027939,-320.966027939
2031,29689.3575844,-374.460365929,-374.460365929
2032,29582.3689084,-481.449041909,-481.449041909
2033,29475.3802324,-588.437717888,-588.437717888
2034,29368.3915564,-695.426393868,-695.426393868
2035,29207.9085425,-855.909407838,-855.909407838
2036,29100.9198665,-962.898083817,-962.898083817
2037,28993.9311905,-1069.8867598,-1069.8867598
2038,28886.9425145,-1176.87543578,-1176.87543578
2039,28726.4595005,-1337.35844975,-1337.35844975
2040,28619.4708246,-1444.34712573,-1444.34712573
2041,28458.9878106,-1604.8301397,-1604.8301397
2042,28298.5047966,-1765.31315367,-1765.31315367
2043,28191.5161207,-1872.30182964,-1872.30182964
2044,28084.5274447,-1979.29050562,-1979.29050562
2045,27924.0444307,-2139.77351959,-2139.77351959
2046,27763.5614167,-2300.25653356,-2300.25653356
2047,27656.5727408,-2407.24520954,-2407.24520954
2048,27496.0897268,-2567.72822351,-2567.72822351
2049,27335.6067128,-2728.21123748,-2728.21123748
2050,27175.1236988,-2888.69425145,-2888.69425145
