year,Base case diesel consumed,"Quinhagak, alaska heat recovery study"
2019,190353.0,176153.0
2020,192571.0,178371.0
2021,193682.0,179482.0
2022,194792.0,180592.0
2023,195902.0,181702.0
2024,197011.0,182811.0
2025,198122.0,183922.0
2026,199782.0,185582.0
2027,202001.0,187801.0
2028,203112.0,188912.0
2029,204774.0,190574.0
2030,205884.0,191684.0
2031,207546.0,193346.0
2032,209212.0,195012.0
2033,210873.0,196673.0
2034,211985.0,197785.0
2035,214201.0,200001.0
2036,215315.0,201115.0
2037,217529.0,203329.0
2038,218641.0,204441.0
