year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,118999.81,14757.87,104208.02,68612.75
2018,119719.66,14769.9,104208.02,69711.15
2019,121510.17,14785.58,104208.02,71358.75
2020,123976.33,14807.14,104208.02,73555.55
2021,125312.43,14820.09,104208.02,74653.96
2022,126638.79,14831.66,104208.02,75752.36
2023,127783.53,14842.72,104208.02,76850.76
2024,129052.6,14853.94,104208.02,77949.16
2025,130353.11,14865.84,104208.02,79047.56
2026,131725.69,14878.63,104208.02,80695.16
2027,134142.45,14901.03,104208.02,82891.97
2028,135677.69,14914.5,104208.02,83990.37
2029,137129.81,14928.01,104208.02,85637.97
2030,138420.18,14940.05,104208.02,86736.37
2031,139953.67,14953.66,104208.02,88383.97
2032,141890.0,14971.63,104208.02,90031.57
2033,143422.94,14985.59,104208.02,91679.17
2034,144875.36,14999.32,104208.02,92777.58
2035,147134.52,15019.45,104208.02,94974.38
2036,148667.53,15033.57,104208.02,96072.78
2037,150523.31,15051.0,104208.02,98269.58
2038,152056.32,15065.1,104208.02,99367.98
2039,153670.02,15079.67,104208.02,101015.58
2040,155283.73,15094.43,104208.02,102663.19
