year,Base case cost,"Quinhagak, alaska heat recovery study"
2019,930855.120407,906892.49174
2020,972512.837738,945200.610687
2021,999428.576708,969502.007487
2022,1020739.70553,988649.458406
2023,1038310.39434,1004364.55552
2024,1054038.81301,1018402.90417
2025,1069888.93198,1032585.92351
2026,1092837.92444,1053606.24837
2027,1117096.25193,1076099.81452
2028,1133395.8509,1090798.045
2029,1154956.50367,1110636.22073
2030,1169452.43249,1123714.07431
2031,1193421.06526,1145858.55548
2032,1217645.65863,1168278.45394
2033,1244182.77125,1192887.8723
2034,1265582.69037,1212520.65251
2035,1289522.5974,1234995.54105
2036,1311301.09683,1255042.71774
2037,1335661.14355,1277972.72273
2038,1359980.27267,1300452.6861
