year,Base case cost,Modeled solar power (pv)
2016,163830.22379,165274.938202
2017,189781.857628,190966.706594
2018,208821.507353,209808.14962
2019,234048.266631,234787.704515
2020,246183.741707,246788.827533
2021,254611.421537,255114.50978
2022,260707.09093,261125.070499
2023,265417.430611,265766.795756
2024,268705.788158,268995.409288
2025,273437.820799,273662.004658
2026,278144.151622,278300.905058
2027,282900.480376,282994.926058
2028,286727.691023,286768.337317
2029,291986.758439,291964.536904
2030,294826.175863,294756.371965
2031,300107.803956,299977.981063
2032,305881.75809,305689.958272
2033,311674.802028,311422.484677
2034,316909.035345,316597.630205
2035,320823.885546,320468.040898
