year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,46629.45,10355.28,70816.98,51138.29
2018,46716.22,10348.64,70816.98,52158.96
2019,46716.22,10342.12,70816.98,52158.96
2020,46802.99,10334.3,70816.98,52158.96
2021,46889.76,10327.41,70816.98,53179.64
2022,46889.76,10320.36,70816.98,53179.64
2023,46976.54,10315.02,70816.98,54200.31
2024,46976.54,10309.47,70816.98,54200.31
2025,47063.31,10303.47,70816.98,54200.31
2026,47063.31,10296.11,70816.98,55220.98
2027,47150.08,10288.67,70816.98,55220.98
2028,47236.85,10280.13,70816.98,56241.66
2029,47323.62,10271.63,70816.98,56241.66
2030,47323.62,10264.36,70816.98,57262.33
2031,47410.4,10257.12,70816.98,57262.33
