year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.83
2004,,1.53,1.83
2005,,1.76,2.91
2010,,2.86,5.16
2011,,3.04,5.16
2012,,3.58,6.75
2013,,4.52,7.35
2014,,2.81,6.95
2016,start of forecast,1.6,3.8
2017,,1.91,4.11
2018,,2.13,4.33
2019,,2.44,4.64
2020,,2.59,4.79
2021,,2.69,4.89
2022,,2.76,4.96
2023,,2.81,5.01
2024,,2.86,5.06
2025,,2.91,5.11
2026,,2.97,5.17
2027,,3.02,5.22
2028,,3.07,5.27
2029,,3.13,5.33
2030,,3.16,5.36
2031,,3.23,5.43
2032,,3.29,5.49
2033,,3.35,5.55
2034,,3.42,5.62
2035,,3.47,5.67
2036,,3.53,5.73
2037,,3.58,5.78
2038,,3.64,5.84
2039,,3.7,5.9
2040,,3.77,5.97
