year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,727178.92,1797.69,30669.32,26905.05
2018,727108.07,1802.81,30669.32,27686.69
2019,726895.5,1809.62,30669.32,27686.69
2020,726753.79,1816.25,30669.32,27686.69
2021,726612.09,1822.3,30669.32,27686.69
2022,726470.38,1828.96,30669.32,27686.69
2023,726328.67,1835.36,30669.32,27686.69
2024,726116.1,1842.84,30669.32,28468.34
2025,725974.4,1850.79,30669.32,28468.34
2026,725761.83,1859.47,30669.32,28468.34
2027,725549.27,1867.87,30669.32,28468.34
2028,725336.71,1876.34,30669.32,28468.34
2029,724982.43,1892.77,30669.32,29249.99
2030,724557.31,1909.21,30669.32,29249.99
2031,724273.89,1922.1,30669.32,29249.99
2032,724132.18,1928.95,30669.32,30031.64
2033,723919.62,1935.82,30669.32,30031.64
2034,723777.91,1942.43,30669.32,30031.64
2035,723636.2,1949.84,30669.32,30031.64
2036,723423.64,1959.23,30669.32,30031.64
2037,723140.22,1970.64,30669.32,30813.29
2038,722856.8,1981.17,30669.32,30813.29
2039,722715.09,1988.76,30669.32,30813.29
2040,722573.38,1994.15,30669.32,30813.29
