year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,30669.3203221,22695.2970384
2018,30669.3203221,22695.2970384
2019,30669.3203221,22695.2970384
2020,30669.3203221,22695.2970384
2021,30669.3203221,22695.2970384
2022,30669.3203221,22695.2970384
2023,30669.3203221,22695.2970384
2024,30669.3203221,22695.2970384
2025,30669.3203221,22695.2970384
2026,30669.3203221,22695.2970384
2027,30669.3203221,22695.2970384
2028,30669.3203221,22695.2970384
2029,30669.3203221,22695.2970384
2030,30669.3203221,22695.2970384
2031,30669.3203221,22695.2970384
