year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,59956.0,51964.0257817
2018,60743.0,52751.0257817
2019,60750.0,52758.0257817
2020,60756.0,52764.0257817
2021,60762.0,52770.0257817
2022,60769.0,52777.0257817
2023,60775.0,52783.0257817
2024,61564.0,53572.0257817
2025,61572.0,53580.0257817
2026,61580.0,53588.0257817
2027,61589.0,53597.0257817
2028,61597.0,53605.0257817
2029,62396.0,54404.0257817
2030,62412.0,54420.0257817
2031,62425.0,54433.0257817
2032,63214.0,55222.0257817
2033,63221.0,55229.0257817
2034,63227.0,55235.0257817
2035,63235.0,55243.0257817
2036,63244.0,55252.0257817
