year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,12797649
2004,,0,0,0,0,0,12799182
2005,,0,0,0,0,0,12585619
2006,,0,0,0,0,0,12315840
2007,,0,0,0,0,0,12065407
2008,,0,0,0,0,0,12041414
2009,,0,0,0,0,0,12300164
2010,,0,0,0,0,0,11181825
2011,,0,0,0,0,0,10581857
2012,,0,0,0,0,0,10979029
2013,,0,0,0,0,0,9914560
2014,start of forecast,0,0,0,0,0,10269000
2015,,0,0,0,0,0,10267000
2016,,0,0,0,0,0,10265000
2017,,0,0,0,0,0,10263000
2018,,0,0,0,0,0,10262000
2019,,0,0,0,0,0,10259000
2020,,0,0,0,0,0,10257000
2021,,0,0,0,0,0,10255000
2022,,0,0,0,0,0,10253000
2023,,0,0,0,0,0,10251000
2024,,0,0,0,0,0,10248000
2025,,0,0,0,0,0,10246000
2026,,0,0,0,0,0,10243000
2027,,0,0,0,0,0,10240000
2028,,0,0,0,0,0,10237000
2029,,0,0,0,0,0,10232000
2030,,0,0,0,0,0,10226000
2031,,0,0,0,0,0,10222000
2032,,0,0,0,0,0,10220000
2033,,0,0,0,0,0,10217000
2034,,0,0,0,0,0,10215000
2035,,0,0,0,0,0,10213000
2036,,0,0,0,0,0,10210000
2037,,0,0,0,0,0,10206000
2038,,0,0,0,0,0,10202000
2039,,0,0,0,0,0,10200000
2040,,0,0,0,0,0,10198000
