year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,59956.0,51164.8283599
2018,60743.0,51951.8283599
2019,60750.0,51958.8283599
2020,60756.0,51964.8283599
2021,60762.0,51970.8283599
2022,60769.0,51977.8283599
2023,60775.0,51983.8283599
2024,61564.0,52772.8283599
2025,61572.0,52780.8283599
2026,61580.0,52788.8283599
2027,61589.0,52797.8283599
2028,61597.0,52805.8283599
2029,62396.0,53604.8283599
2030,62412.0,53620.8283599
2031,62425.0,53633.8283599
2032,63214.0,54422.8283599
2033,63221.0,54429.8283599
2034,63227.0,54435.8283599
2035,63235.0,54443.8283599
2036,63244.0,54452.8283599
