year,Base case cost,Modeled biomass for heat (pellet)
2017,223683.376801,230401.978301
2018,244842.410258,248676.069285
2019,270993.125804,270804.792959
2020,283778.650557,281508.050508
2021,292313.35531,288581.404162
2022,299031.620855,294107.458143
2023,303315.395609,297555.945915
2024,311562.61065,304973.027998
2025,315913.136987,308498.454603
2026,321496.383325,313085.693035
2027,326470.490455,317156.504031
2028,330208.716792,320171.945226
2029,340107.629756,329088.915588
2030,343315.442431,331670.90293
2031,349005.202729,336387.556657
2032,359737.73777,346063.336717
2033,365467.463316,350828.382385
2034,371824.848069,356137.241351
2035,376298.344407,359829.917564
2036,382676.301536,365167.196877
