year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1797.69305207,1168.50048384
2018,1802.80604997,1171.82393248
2019,1809.6160697,1176.25044531
2020,1816.25200076,1180.56380049
2021,1822.29575619,1184.49224153
2022,1828.9645859,1188.82698083
2023,1835.35788944,1192.98262814
2024,1842.84370219,1197.84840643
2025,1850.78735443,1203.01178038
2026,1859.47122621,1208.65629703
2027,1867.86860561,1214.11459364
2028,1876.34000696,1219.62100452
2029,1892.77425143,1230.30326343
2030,1909.20986668,1240.98641334
2031,1922.10065281,1249.36542433
