year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10970.4333422,7130.7816724
2018,10972.0047811,7131.80310769
2019,10974.0618234,7133.14018523
2020,10976.1079234,7134.47015018
2021,10977.5181617,7135.38680509
2022,10978.6731212,7136.1375288
2023,10979.0965397,7136.4127508
2024,10980.3147518,7137.20458867
2025,10981.4064588,7137.91419822
2026,10983.7306565,7139.4249267
2027,10986.4948196,7141.22163277
2028,10988.5810863,7142.57770608
2029,10990.4063361,7143.76411844
2030,10992.4612433,7145.09980815
2031,10994.6447908,7146.519114
