year,Base case cost,Fort yukon heat recovery
2016,,
2017,1623464.02376,1685864.77001
2018,1741089.46349,1745490.20974
2019,1899883.80712,1825984.55337
2020,1973399.70695,1863250.4532
2021,2023390.51884,1888591.26509
2022,2061618.78675,1907969.533
2023,2088084.51069,1921385.25694
2024,2111609.59863,1933310.34489
2025,2135134.68658,1945235.43283
2026,2167481.6825,1961632.42876
2027,2193947.40644,1975048.15269
2028,2214531.8584,1985482.60465
2029,2243938.21833,2000388.96458
2030,2261582.03429,2009332.78054
2031,2293929.03021,2025729.77646
2032,,
2033,,
2034,,
2035,,
