year,Base case cost,Modeled diesel efficiency
2019,1119188.31994,1327702.58702
2020,1176543.75717,1379843.89359
2021,1215688.34568,1415429.88315
2022,1245731.09791,1442741.47608
2023,1266265.12699,1461408.77525
2024,1284921.61369,1478369.2177
2025,1303179.82489,1494967.59152
2026,1328702.51635,1518170.0383
2027,1350097.68162,1537620.18854
2028,1366517.81917,1552547.58632
2029,1389805.59672,1573718.29318
2030,1403961.39821,1586587.20363
2031,1429562.30954,1609860.75938
2032,1455179.00836,1633148.6674
2033,1478522.75976,1654370.25958
2034,1506459.7685,1679767.54026
2035,1522963.14922,1694770.61364
2036,1548155.02086,1717672.31513
2037,1564676.34192,1732691.69791
2038,1592166.99507,1757683.20077
