year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,33573.17,2742000.0,0.0,2742000.0
2004,,33573.17,2884000.0,0.0,2884000.0
2005,,33573.17,2811503.0,0.0,2811503.0
2006,,33573.17,2924351.0,0.0,2924351.0
2007,,33573.17,3012000.0,0.0,3012000.0
2008,,33573.17,3021000.0,0.0,3021000.0
2009,,33573.17,3219000.0,0.0,3219000.0
2010,,33573.17,3341000.0,0.0,3341000.0
2011,,33573.17,3092000.0,0.0,3092000.0
2012,,33573.17,3490073.0,0.0,3490073.0
2013,,33573.17,3209137.0,0.0,3209137.0
2014,start of forecast,33573.17,3188000.0,16630.0,3171370.0
2015,,33573.17,3189000.0,16630.0,3172370.0
2016,,33573.17,3190000.0,16630.0,3173370.0
2017,,33573.17,3191000.0,16630.0,3174370.0
2018,,33573.17,3192000.0,16630.0,3175370.0
2019,,33573.17,3193000.0,16630.0,3176370.0
2020,,33573.17,3194000.0,16630.0,3177370.0
2021,,33573.17,3195000.0,16630.0,3178370.0
2022,,33573.17,3196000.0,16630.0,3179370.0
2023,,33573.17,3196000.0,16630.0,3179370.0
2024,,33573.17,3197000.0,16630.0,3180370.0
2025,,33573.17,3197000.0,16630.0,3180370.0
2026,,33573.17,3198000.0,16630.0,3181370.0
2027,,33573.17,3200000.0,16630.0,3183370.0
2028,,33573.17,3201000.0,16630.0,3184370.0
2029,,33573.17,3202000.0,16630.0,3185370.0
2030,,33573.17,3203000.0,16630.0,3186370.0
2031,,33573.17,3204000.0,16630.0,3187370.0
2032,,33573.17,3205000.0,16630.0,3188370.0
2033,,33573.17,3206000.0,16630.0,3189370.0
2034,,33573.17,3207000.0,16630.0,3190370.0
2035,,33573.17,3208000.0,16630.0,3191370.0
2036,,33573.17,3208000.0,16630.0,3191370.0
2037,,33573.17,3209000.0,16630.0,3192370.0
2038,,33573.17,3209000.0,16630.0,3192370.0
2039,,33573.17,3209000.0,16630.0,3192370.0
2040,,33573.17,3209000.0,16630.0,3192370.0
