year,Base case diesel consumed,Modeled solar power (pv)
2016,227725.310647,225316.055018
2017,227797.071995,225407.090411
2018,227868.833344,225497.971613
2019,227940.594692,225588.699855
2020,228012.356041,225679.276362
2021,228084.117389,225769.702348
2022,228155.878738,225859.979017
2023,228155.878738,225878.346215
2024,228227.640086,225968.327824
2025,228227.640086,225986.402322
2026,228299.401435,226076.093572
2027,228442.924132,226237.402732
2028,228514.685481,226326.808252
2029,228586.446829,226416.072619
2030,228658.208178,226505.196961
2031,228729.969526,226594.182399
2032,228801.730875,226683.030045
2033,228873.492223,226771.741
2034,228945.253572,226860.316358
2035,229017.01492,226948.757204
