year,Base case diesel consumed,Modeled residential energy efficiency
2017,14566.3710874,13593.6946564
2018,13493.6435424,12520.9671115
2019,13493.6435424,12520.9671115
2020,13493.6435424,12520.9671115
2021,13493.6435424,12520.9671115
2022,13493.6435424,12520.9671115
2023,13493.6435424,12520.9671115
2024,13493.6435424,12520.9671115
2025,13493.6435424,12520.9671115
2026,13493.6435424,12520.9671115
2027,13493.6435424,12520.9671115
2028,13493.6435424,12520.9671115
2029,13493.6435424,12520.9671115
2030,13493.6435424,12520.9671115
2031,13493.6435424,12520.9671115
