year,Base case diesel consumed,Modeled residential energy efficiency
2017,78937.5213673,59085.1012803
2018,78937.5213673,59085.1012803
2019,77858.1897154,58005.7696284
2020,77858.1897154,58005.7696284
2021,77858.1897154,58005.7696284
2022,78937.5213673,59085.1012803
2023,78937.5213673,59085.1012803
2024,78937.5213673,59085.1012803
2025,78937.5213673,59085.1012803
2026,78937.5213673,59085.1012803
2027,78937.5213673,59085.1012803
2028,78937.5213673,59085.1012803
2029,78937.5213673,59085.1012803
2030,78937.5213673,59085.1012803
2031,78937.5213673,59085.1012803
2032,77858.1897154,58005.7696284
2033,77858.1897154,58005.7696284
2034,77858.1897154,58005.7696284
2035,77858.1897154,58005.7696284
2036,76778.8580635,56926.4379765
