year,Base case cost,Modeled non-residential energy efficiency
2017,2243834.05788,2145919.92465
2018,2362688.62883,2254257.55191
2019,2519576.66247,2397263.21989
2020,2593266.49646,2464432.54879
2021,2640808.32484,2507767.5997
2022,2678841.78754,2542435.64042
2023,2704989.79315,2566269.91842
2024,2724006.5245,2583603.93878
2025,2750154.53011,2607438.21678
2026,2778679.62714,2633439.24732
2027,2804827.63274,2657273.52532
2028,2826221.45551,2676774.29823
2029,2852369.46112,2700608.57622
2030,2869009.10105,2715775.84404
2031,2899911.2895,2743943.62713
