year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10628.1168076,6908.27592497
2018,10626.0601656,6906.93910765
2019,10624.7840387,6906.10962517
2020,10623.6928655,6905.40036257
2021,10624.2652077,6905.77238499
2022,10626.1156784,6906.97519097
2023,10630.3680113,6909.73920736
2024,10630.8123805,6910.02804733
2025,10631.4667909,6910.45341407
2026,10630.4782362,6909.81085355
2027,10629.8890801,6909.42790205
2028,10628.3101683,6908.40160939
2029,10626.5701894,6907.27062308
2030,10627.045651,6907.57967318
2031,10626.2036181,6907.03235179
