year,population
2003,469.0
2004,451.0
2005,475.0
2006,471.0
2007,490.0
2008,515.0
2009,490.0
2010,514.0
2011,527.0
2012,529.0
2013,537.0
2014,546.0
2015,547.0
2016,546.0
2017,545.0
2018,544.0
2019,543.0
2020,542.0
2021,542.0
2022,544.0
2023,547.0
2024,547.0
2025,548.0
2026,547.0
2027,546.0
2028,545.0
2029,544.0
2030,544.0
2031,544.0
2032,542.0
2033,541.0
2034,540.0
2035,539.0
2036,538.0
2037,539.0
2038,539.0
2039,538.0
2040,536.0
