year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,7214.47,439934.0,439934.0
2004,,7214.47,402671.0,402671.0
2005,,7214.47,407745.0,407745.0
2006,,7214.47,388224.0,388224.0
2007,,7214.47,412415.0,412415.0
2008,,7214.47,366328.0,366328.0
2009,,7214.47,0.0,0.0
2010,,7214.47,482078.0,482078.0
2011,,7214.47,506659.0,506659.0
2012,,7214.47,497601.0,497601.0
2013,,7214.47,466860.0,466860.0
2014,,7214.47,480500.0,480500.0
2015,,7214.47,475619.0,475619.0
2016,start of forecast,7214.47,475000.0,475000.0
2017,,7214.47,475000.0,475000.0
2018,,7214.47,475000.0,475000.0
2019,,7214.47,475000.0,475000.0
2020,,7214.47,475000.0,475000.0
2021,,7214.47,475000.0,475000.0
2022,,7214.47,475000.0,475000.0
2023,,7214.47,475000.0,475000.0
2024,,7214.47,474000.0,474000.0
2025,,7214.47,474000.0,474000.0
2026,,7214.47,474000.0,474000.0
2027,,7214.47,474000.0,474000.0
2028,,7214.47,474000.0,474000.0
2029,,7214.47,474000.0,474000.0
2030,,7214.47,475000.0,475000.0
2031,,7214.47,475000.0,475000.0
2032,,7214.47,474000.0,474000.0
2033,,7214.47,474000.0,474000.0
2034,,7214.47,474000.0,474000.0
2035,,7214.47,474000.0,474000.0
2036,,7214.47,474000.0,474000.0
2037,,7214.47,474000.0,474000.0
2038,,7214.47,474000.0,474000.0
2039,,7214.47,474000.0,474000.0
2040,,7214.47,474000.0,474000.0
