year,annotation,diesel generation efficiency
2002,,11.76
2003,,12.31
2004,,11.62
2005,,11.92
2006,,11.69
2007,,11.58
2008,,9.96
2009,,0.0
2010,,11.5
2011,,11.94
2012,,11.15
2013,,11.16
2014,,11.74
2015,,11.71
2016,start of forecast,11.54
2017,,11.54
2018,,11.54
2019,,11.54
2020,,11.54
2021,,11.54
2022,,11.54
2023,,11.54
2024,,11.54
2025,,11.54
2026,,11.54
2027,,11.54
2028,,11.54
2029,,11.54
2030,,11.54
2031,,11.54
2032,,11.54
2033,,11.54
2034,,11.54
2035,,11.54
2036,,11.54
2037,,11.54
2038,,11.54
2039,,11.54
2040,,11.54
