year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,41166.91,6638.54,38908.07,15858.82
2018,41166.91,6638.18,38908.07,15858.82
2019,41166.91,6638.07,38908.07,15858.82
2020,41166.91,6637.88,38908.07,15858.82
2021,41166.91,6637.47,38908.07,15858.82
2022,41166.91,6636.67,38908.07,14757.72
2023,41166.91,6635.44,38908.07,14757.72
2024,41080.24,6634.51,38908.07,14757.72
2025,41080.24,6633.85,38908.07,14757.72
2026,41080.24,6633.61,38908.07,14757.72
2027,41080.24,6633.17,38908.07,14757.72
2028,41080.24,6632.56,38908.07,14757.72
2029,41080.24,6633.85,38908.07,14757.72
2030,41166.91,6634.64,38908.07,14757.72
2031,41166.91,6634.9,38908.07,14757.72
2032,41080.24,,,14757.72
2033,41080.24,,,14757.72
2034,41080.24,,,14757.72
2035,41080.24,,,13656.63
2036,41080.24,,,13656.63
