year,Base case diesel consumed,Modeled solar power (pv)
2016,41166.9085761,40447.862256
2017,41166.9085761,40453.6146266
2018,41166.9085761,40459.3209782
2019,41166.9085761,40464.981679
2020,41166.9085761,40470.5970942
2021,41166.9085761,40476.167586
2022,41166.9085761,40481.6935139
2023,41166.9085761,40487.1752344
2024,41080.2414002,40405.9459252
2025,41080.2414002,40411.340289
2026,41080.2414002,40416.6914979
2027,41080.2414002,40421.9998971
2028,41080.2414002,40427.2658291
2029,41080.2414002,40432.4896337
2030,41166.9085761,40524.3388238
2031,41166.9085761,40529.4793818
2032,41080.2414002,40447.9116394
2033,41080.2414002,40452.9702775
2034,41080.2414002,40457.9884465
2035,41080.2414002,40462.9664701
