year,Base case cost,Modeled diesel efficiency
2019,152729.230817,315867.018705
2020,162197.61979,320325.685745
2021,168372.656076,321887.63703
2022,172901.01602,322047.571963
2023,176194.368706,321177.509501
2024,178699.050091,319681.036074
2025,181985.469403,318983.673882
2026,185682.691129,318746.136
2027,188969.110441,318219.484697
2028,191844.727339,317401.743167
2029,195541.949065,317411.3512
2030,198012.830251,316384.655047
2031,202129.521109,316930.859288
2032,205812.009415,317157.245882
2033,209920.033555,317843.639384
2034,214028.057695,318601.474486
2035,216492.872179,317935.249775
2036,221011.698733,319204.440757
2037,223476.513217,318672.883202
2038,227995.339771,320073.585085
