year,Base case cost,Modeled transmission and interties
2021,168372.656076,1909813.48259
2022,172901.01602,1884822.44867
2023,176194.368706,1859422.67854
2024,178699.050091,1834069.24696
2025,181985.469403,1809930.00624
2026,185682.691129,1787067.54553
2027,188969.110441,1764134.24709
2028,191844.727339,1741428.93575
2029,195541.949065,1719999.58316
2030,198012.830251,1698598.47935
2031,202129.521109,1678311.8312
2032,205812.009415,1658594.26921
2033,209920.033555,1639348.78314
2034,214028.057695,1620920.76691
2035,216492.872179,1602195.70255
2036,221011.698733,1584782.91901
2037,223476.513217,1566696.38604
2038,227995.339771,1550212.62653
2039,231281.759083,1533428.29367
2040,235800.585637,1518143.31016
