year,Base case cost,Modeled solar power (pv)
2016,100447.256926,104445.110044
2017,119384.034871,122946.392161
2018,133380.783787,136600.553787
2019,152729.230817,155521.67323
2020,162197.61979,164737.70886
2021,168372.656076,170720.710521
2022,172901.01602,175088.527769
2023,176194.368706,178245.294984
2024,178699.050091,180623.300133
2025,181985.469403,183779.345375
2026,185682.691129,187342.591282
2027,188969.110441,190504.692786
2028,191844.727339,193265.427716
2029,195541.949065,196837.552502
2030,198012.830251,199211.927925
2031,202129.521109,203202.658553
2032,205812.009415,206762.059646
2033,209920.033555,210749.810759
2034,214028.057695,214740.318473
2035,216492.872179,217115.00777
