year,Base case cost,Modeled water and wastewater efficiency
2017,74807.8791071,57288.8704642
2018,79140.3914594,60220.0129685
2019,85133.6437879,64312.4946223
2020,88064.5716102,66269.7173944
2021,89972.0288301,67514.6349393
2022,91363.6850504,68401.497217
2023,92366.2715331,69018.700251
2024,93245.2515413,69551.6159754
2025,94255.5030819,70178.08973
2026,95399.1230753,70899.5665233
2027,96412.1274984,71531.6377125
2028,97295.1468181,72074.7099151
2029,98461.7391652,72817.7741767
2030,99111.1585436,73201.4547406
2031,100389.993678,74025.9738229
