year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.25
2001,,,2.5
2003,,1.55,2.75
2004,,2.1,2.75
2005,,2.66,3.3
2008,,7.1,6.3
2009,,6.84,6.3
2010,,3.68,6.3
2011,,3.74,4.8
2012,,4.16,4.9
2013,,4.03,5.2
2014,,3.93,6.08
2016,start of forecast,2.44,3.72
2017,,2.9,4.18
2018,,3.24,4.52
2019,,3.71,4.99
2020,,3.94,5.22
2021,,4.09,5.37
2022,,4.2,5.48
2023,,4.28,5.56
2024,,4.35,5.63
2025,,4.43,5.71
2026,,4.52,5.8
2027,,4.6,5.88
2028,,4.67,5.95
2029,,4.76,6.04
2030,,4.81,6.09
2031,,4.91,6.19
2032,,5.01,6.29
2033,,5.11,6.39
2034,,5.21,6.49
2035,,5.27,6.55
2036,,5.38,6.66
2037,,5.44,6.72
2038,,5.55,6.83
2039,,5.63,6.91
2040,,5.74,7.02
