year,Base case diesel consumed,Modeled transmission and interties
2021,41166.9085761,0.0
2022,41166.9085761,0.0
2023,41166.9085761,0.0
2024,41080.2414002,0.0
2025,41080.2414002,0.0
2026,41080.2414002,0.0
2027,41080.2414002,0.0
2028,41080.2414002,0.0
2029,41080.2414002,0.0
2030,41166.9085761,0.0
2031,41166.9085761,0.0
2032,41080.2414002,0.0
2033,41080.2414002,0.0
2034,41080.2414002,0.0
2035,41080.2414002,0.0
2036,41080.2414002,0.0
2037,41080.2414002,0.0
2038,41080.2414002,0.0
2039,41080.2414002,0.0
2040,41080.2414002,0.0
