year,Base case diesel consumed,Modeled residential ashp
2017,2916.06337061,-7415.44467146
2018,2916.06337061,-7415.44467146
2019,2916.06337061,-7415.44467146
2020,2916.06337061,-7415.44467146
2021,2916.06337061,-7415.44467146
2022,2916.06337061,-7415.44467146
2023,2916.06337061,-7415.44467146
2024,2916.06337061,-7415.44467146
2025,2916.06337061,-7415.44467146
2026,2916.06337061,-7415.44467146
2027,2916.06337061,-7415.44467146
2028,2916.06337061,-7415.44467146
2029,2392.12561012,-7939.38243194
2030,2392.12561012,-7939.38243194
2031,2392.12561012,-7939.38243194
