year,Base case cost,Fivemile creek hydroelectric project,Fivemile creek (chitina),Chitina (haley creek)
2020,133656.446715,406033.006325,,
2021,140000.8983,399726.670504,566815.183404,685616.546139
2022,144653.496129,393274.560626,555769.296612,678590.845879
2023,147614.240202,386672.549471,544956.148787,670381.99223
2024,150574.984274,380238.474536,534397.58047,662424.623688
2025,153535.728347,373968.39989,524087.625067,654712.846187
2026,157342.399298,368019.415745,514034.430915,647961.240732
2027,160726.10681,362146.367377,504211.344756,641083.680465
2028,163686.850883,356345.589192,494612.809811,634074.676146
2029,167385.192214,351089.069132,485562.008303,627963.83781
2030,169927.752096,345507.422038,476408.189628,621040.936497
2031,173741.591919,340311.813065,467493.360662,615413.946603
2032,177979.191722,335336.381237,458796.899122,610355.945433
2033,181793.031544,330415.343718,450298.301185,605140.127305
2034,186454.391327,325789.311629,442016.099446,600844.62617
2035,188996.951209,320886.335203,433891.097812,594938.036687
2036,193658.310992,316516.01766,425996.541355,591025.469029
2037,196200.870874,311862.76252,418250.099643,585492.838094
2038,200438.470677,307655.049867,410717.446424,581584.499222
2039,203828.550519,303402.474563,403347.595883,577130.433094
2040,208913.670283,299589.860054,396183.072383,574292.300424
2041,208913.670283,294914.296618,389095.246773,567290.626917
2042,208913.670283,290348.3167,382173.542076,560453.055133
2043,208913.670283,285889.351894,375414.06477,553775.738874
2044,209306.365152,281927.588974,369205.707627,547647.61713
2045,209306.365152,277675.188796,362759.367781,541279.632165
2046,209306.365152,273522.454245,356464.114021,535060.896844
2047,209306.365152,269467.049425,350316.405294,528987.913154
2048,209306.365152,265506.693122,344312.78344,523057.264969
2049,209306.365152,261639.157682,338449.871492,517265.616371
2050,209306.365152,257862.267608,332724.371548,511609.709541
2051,209306.365152,254173.898399,327133.063016,506086.363035
2052,209306.365152,250571.975329,321672.800756,500692.469941
2053,209306.365152,247054.47236,316340.513436,495424.996259
2054,209306.365152,243619.410844,311133.201565,490280.978957
2055,209306.365152,240264.858584,306047.936069,485257.524564
2056,209306.365152,236988.928644,301081.856486,480351.807385
2057,209306.365152,233789.778303,296232.169378,475561.067938
2058,209306.365152,230665.608076,291496.146855,470882.611491
2059,209306.365152,227614.660566,286871.124826,466313.806331
2060,209306.365152,224635.219628,282354.501735,461852.082528
2061,209306.365152,221725.609362,277943.737034,457494.930412
2062,209306.365152,218884.193062,273636.349595,453239.899014
2063,209306.365152,216109.372465,269429.916561,449084.594926
2064,209306.365152,213399.586733,265322.071813,445026.680789
2065,209306.365152,210753.311628,261310.504712,441063.874049
2066,209306.365152,208169.058535,257392.958623,437193.945502
2067,209306.365152,205645.373921,253567.230092,433414.718476
2068,209306.365152,203180.838145,249831.167043,429724.067053
2069,209306.365152,200774.064951,246182.668009,426119.91531
2070,209306.365152,,242619.680659,422600.235861
