year,Base case cost,Modeled solar power
2020,133656.446715,136909.771319
2021,140000.8983,143041.056574
2022,144653.496129,147514.845956
2023,147614.240202,150330.335437
2024,150574.984274,153149.19065
2025,153535.728347,155971.339426
2026,157342.399298,159628.173621
2027,160726.10681,162872.604114
2028,163686.850883,165704.388426
2029,167385.192214,169269.728981
2030,169927.752096,171696.362584
2031,173741.591919,175376.212326
2032,177979.191722,179475.981921
2033,181793.031544,183161.927332
2034,186454.391327,187684.75501
2035,188996.951209,190125.505196
2036,193658.310992,194654.168291
2037,196200.870874,197100.097786
2038,200438.470677,201217.170747
2039,203828.550519,204502.496975
