year,Base case diesel consumed,Fivemile creek hydroelectric project,Fivemile creek (chitina),Chitina (haley creek)
2020,42296.3438973,4133.63219214,,
2021,42296.3438973,4133.63219214,0.0,35299.4143022
2022,42296.3438973,4133.63219214,0.0,35299.4143022
2023,42296.3438973,4133.63219214,0.0,35299.4143022
2024,42296.3438973,4133.63219214,0.0,35299.4143022
2025,42296.3438973,4133.63219214,0.0,35299.4143022
2026,42296.3438973,4133.63219214,0.0,35299.4143022
2027,42296.3438973,4133.63219214,0.0,35299.4143022
2028,42296.3438973,4133.63219214,0.0,35299.4143022
2029,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2030,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2031,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2032,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2033,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2034,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2035,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2036,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2037,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2038,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2039,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2040,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2041,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2042,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2043,42375.9980289,4213.28632378,79.6541316333,35379.0684339
2044,42455.6521606,4292.94045541,159.308263267,35458.7225655
2045,42455.6521606,4292.94045541,159.308263267,35458.7225655
2046,42455.6521606,4292.94045541,159.308263267,35458.7225655
2047,42455.6521606,4292.94045541,159.308263267,35458.7225655
2048,42455.6521606,4292.94045541,159.308263267,35458.7225655
2049,42455.6521606,4292.94045541,159.308263267,35458.7225655
2050,42455.6521606,4292.94045541,159.308263267,35458.7225655
2051,42455.6521606,4292.94045541,159.308263267,35458.7225655
2052,42455.6521606,4292.94045541,159.308263267,35458.7225655
2053,42455.6521606,4292.94045541,159.308263267,35458.7225655
2054,42455.6521606,4292.94045541,159.308263267,35458.7225655
2055,42455.6521606,4292.94045541,159.308263267,35458.7225655
2056,42455.6521606,4292.94045541,159.308263267,35458.7225655
2057,42455.6521606,4292.94045541,159.308263267,35458.7225655
2058,42455.6521606,4292.94045541,159.308263267,35458.7225655
2059,42455.6521606,4292.94045541,159.308263267,35458.7225655
2060,42455.6521606,4292.94045541,159.308263267,35458.7225655
2061,42455.6521606,4292.94045541,159.308263267,35458.7225655
2062,42455.6521606,4292.94045541,159.308263267,35458.7225655
2063,42455.6521606,4292.94045541,159.308263267,35458.7225655
2064,42455.6521606,4292.94045541,159.308263267,35458.7225655
2065,42455.6521606,4292.94045541,159.308263267,35458.7225655
2066,42455.6521606,4292.94045541,159.308263267,35458.7225655
2067,42455.6521606,4292.94045541,159.308263267,35458.7225655
2068,42455.6521606,4292.94045541,159.308263267,35458.7225655
2069,42455.6521606,4292.94045541,159.308263267,35458.7225655
2070,42455.6521606,,159.308263267,35458.7225655
