year,annotation,diesel generation efficiency
2002,,11.87
2003,,11.78
2004,,11.66
2005,,12.27
2006,,13.34
2007,,12.68
2008,,12.61
2009,,14.22
2010,,14.0
2011,,13.36
2012,,12.66
2013,,11.65
2014,start of forecast,12.55
2015,,12.55
2016,,12.55
2017,,12.55
2018,,12.55
2019,,12.55
2020,,12.55
2021,,12.55
2022,,12.55
2023,,12.55
2024,,12.55
2025,,12.55
2026,,12.55
2027,,12.55
2028,,12.55
2029,,12.55
2030,,12.55
2031,,12.55
2032,,12.55
2033,,12.55
2034,,12.55
2035,,12.55
2036,,12.55
2037,,12.55
2038,,12.55
2039,,12.55
2040,,12.55
