year,Base case cost,Modeled biomass for heat (cordwood)
2017,261331.854789,294197.812215
2018,286958.50247,316298.155289
2019,323318.34247,347962.646162
2020,339837.31735,361990.784336
2021,352219.629668,372353.832746
2022,361295.921987,379790.879913
2023,367066.554306,384301.927982
2024,372827.741504,388818.091968
2025,378597.393823,393356.940844
2026,386000.2159,399360.470771
2027,392599.510779,404665.222121
2028,391606.373395,402481.972001
2029,398053.587791,407660.818858
2030,402880.504748,411414.373169
2031,410151.696825,417350.97348
2032,418253.939143,424039.481042
2033,425559.599143,430034.356201
2034,434478.034023,437471.117677
2035,431749.1192,433727.684864
2036,440495.986398,441015.050582
