year,Base case cost,Modeled water and wastewater efficiency
2017,9933.45365987,12489.184482
2018,10736.4205386,12907.0461857
2019,11851.2223222,13540.6822251
2020,12347.9093018,13755.1141601
2021,12700.2569084,13873.7285504
2022,12957.2284301,13930.13743
2023,13114.4787496,13921.2546353
2024,13251.7902642,13901.2876186
2025,13401.6103987,13892.6491784
2026,13570.8756683,13899.6008688
2027,13752.066323,13917.5896406
2028,13887.1034227,13906.3453207
2029,13994.7642308,13878.3587884
2030,14068.423914,13829.6720133
2031,14232.1397365,13844.9475715
