year,Base case diesel consumed,Modeled solar power
2020,42296.3438973,41537.4142253
2021,42296.3438973,41543.4856627
2022,42296.3438973,41549.5085286
2023,42296.3438973,41555.4832115
2024,42296.3438973,41561.410097
2025,42296.3438973,41567.2895674
2026,42296.3438973,41573.1220021
2027,42296.3438973,41578.9077772
2028,42296.3438973,41584.6472662
2029,42375.9980289,41669.9949709
2030,42375.9980289,41675.6429953
2031,42375.9980289,41681.2458356
2032,42375.9980289,41686.8038531
2033,42375.9980289,41692.3174065
2034,42375.9980289,41697.7868515
2035,42375.9980289,41703.2125409
2036,42375.9980289,41708.5948248
2037,42375.9980289,41713.9340505
2038,42375.9980289,41719.2305623
2039,42375.9980289,41724.484702
