year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,82633.0,73514.2400411
2018,82636.0,73517.2400411
2019,82636.0,73517.2400411
2020,82634.0,73515.2400411
2021,82631.0,73512.2400411
2022,82628.0,73509.2400411
2023,82625.0,73506.2400411
2024,82620.0,73501.2400411
2025,82617.0,73498.2400411
2026,82610.0,73491.2400411
2027,82608.0,73489.2400411
2028,81203.0,72084.2400411
2029,81193.0,72074.2400411
2030,81184.0,72065.2400411
2031,81177.0,72058.2400411
2032,81174.0,72055.2400411
2033,81174.0,72055.2400411
2034,81172.0,72053.2400411
2035,79768.0,70649.2400411
2036,79763.0,70644.2400411
