year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,34993.377416,25895.0992879
2018,34993.377416,25895.0992879
2019,34993.377416,25895.0992879
2020,34993.377416,25895.0992879
2021,34993.377416,25895.0992879
2022,34993.377416,25895.0992879
2023,34993.377416,25895.0992879
2024,34993.377416,25895.0992879
2025,34993.377416,25895.0992879
2026,34993.377416,25895.0992879
2027,34993.377416,25895.0992879
2028,34993.377416,25895.0992879
2029,34993.377416,25895.0992879
2030,34993.377416,25895.0992879
2031,34993.377416,25895.0992879
