year,Base case cost,Modeled biomass for heat (pellet)
2017,261331.854789,274697.435754
2018,286958.50247,296932.087541
2019,323318.34247,328602.570036
2020,339837.31735,342846.005923
2021,352219.629668,353460.625386
2022,361295.921987,361176.616635
2023,367066.554306,365994.195144
2024,372827.741504,370808.209218
2025,378597.393823,375636.431273
2026,386000.2159,381902.818626
2027,392599.510779,387471.461956
2028,391606.373395,385553.327838
2029,398053.587791,390980.462237
2030,402880.504748,394993.012599
2031,410151.696825,401153.900138
2032,418253.939143,408050.395948
2033,425559.599143,414255.366181
2034,434478.034023,421877.137618
2035,431749.1192,418357.621465
2036,440495.986398,425816.779673
