year,Base case diesel consumed,Modeled transmission and interties
2021,42296.3438973,0.0
2022,42296.3438973,0.0
2023,42296.3438973,0.0
2024,42296.3438973,0.0
2025,42296.3438973,0.0
2026,42296.3438973,0.0
2027,42296.3438973,0.0
2028,42296.3438973,0.0
2029,42375.9980289,0.0
2030,42375.9980289,0.0
2031,42375.9980289,0.0
2032,42375.9980289,0.0
2033,42375.9980289,0.0
2034,42375.9980289,0.0
2035,42375.9980289,0.0
2036,42375.9980289,0.0
2037,42375.9980289,0.0
2038,42375.9980289,0.0
2039,42375.9980289,0.0
2040,42375.9980289,0.0
