year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,5368.69,110668.67,194119.11,4564.77,136065.9,131273.24
2018,5905.45,121516.62,208361.19,4830.97,143744.18,138681.07
2019,6653.87,136913.7,228575.74,5197.35,154642.4,149195.42
2020,6988.38,143912.38,237764.18,5359.53,159596.13,153974.67
2021,7227.73,149161.39,244655.51,5472.53,163311.43,157559.1
2022,7402.34,153010.66,249709.15,5554.89,166035.98,160187.69
2023,7509.81,155460.19,252925.1,5604.67,167769.79,161860.43
2024,7605.79,157909.73,256141.05,5646.0,169503.6,163533.16
2025,7708.87,160359.27,259357.0,5692.74,171237.4,165205.9
2026,7827.83,163508.67,263491.8,5743.05,173466.58,167356.56
2027,7951.19,166308.14,267167.17,5800.87,175448.08,169268.26
2028,8045.48,168757.68,262141.19,5841.63,177181.88,167522.18
2029,8126.03,171557.15,265704.53,5868.74,179163.38,169395.64
2030,8182.16,173656.75,268377.04,5886.26,180649.5,170800.74
2031,8297.14,176806.15,272385.8,5935.0,182878.68,172908.39
2032,8445.69,180305.49,276839.97,6004.24,185355.54,175250.22
2033,8591.91,183454.9,280848.73,6075.53,187584.72,177357.87
2034,8763.91,187304.17,285748.32,6157.96,190309.28,179933.88
2035,8842.83,189403.77,279352.64,6192.52,191795.4,177638.19
2036,8996.37,193253.04,284098.19,6262.26,194519.95,180161.63
2037,9053.31,195352.64,286686.67,6281.79,196006.07,181538.05
2038,9181.14,198851.98,291000.8,6337.47,198482.94,183832.09
2039,9287.98,201651.45,294452.1,6385.33,200464.43,185667.32
2040,9465.31,205850.66,299629.06,6469.02,203436.67,188420.17
