year,Base case cost,Chenega bay hydroelectric construction -- anderson creek,South lake creek (chenega bay),Chenega bay -- anderson creek,Thumb bay (unnamed creek),"New chenega (crab bay, chenega bay) -- unnamed creek, near crab bay",Hayden lake
2018,76090.9297328,178916.219928,,,,,
2019,88947.1524618,185664.391522,,,,,
2020,95116.8971412,187720.039476,,,,,
2021,99487.1329558,188534.32131,285688.051508,142374.720728,464867.03632,147820.892214,265500.851052
2022,102829.07799,188661.970927,280618.667466,141919.934391,458332.882237,148094.748791,264529.761766
2023,105142.732245,188101.70487,275572.550153,141053.440704,451500.195308,147791.467147,262826.875075
2024,106942.24111,187222.968247,270598.44234,140002.769254,444608.97222,147218.983148,260798.585299
2025,109255.895365,186765.934736,265796.869919,139224.070748,438143.775236,146994.143775,259259.720313
2026,112083.69501,186729.408993,261165.001274,138716.328596,432100.349143,147116.040733,258208.380888
2027,114397.349264,186370.82587,256596.645418,138021.358237,425985.618454,146966.009861,256825.939445
2028,116453.930824,185874.394661,252114.957886,137252.487959,419917.754397,146697.629085,255314.777649
2029,118625.246171,185395.638932,247395.459355,136352.253274,413860.07258,146373.973796,253886.294832
2030,120162.50638,184615.021993,243074.083015,135427.589113,407868.969985,145861.19938,252107.251533
2031,122980.816764,184801.078056,238982.472222,135107.724929,402642.18735,146149.948573,251415.150479
2032,125799.127149,185030.336408,234993.202208,134824.602577,397569.197366,146471.525452,250791.691665
2033,128873.647568,185486.271199,231128.867918,134690.79613,392767.762532,146978.742179,250438.596698
2034,131948.167987,185983.406986,227362.133596,134592.029494,388112.996094,147517.26589,250150.964202
2035,133741.638231,185598.344222,223565.743058,133960.30505,382994.624081,147318.45474,248910.607248
2036,137072.368685,186359.494272,220012.393059,134042.608657,378744.328966,148070.989814,248952.663045
2037,138865.83893,186052.095122,216399.977832,133476.934032,373902.425935,147931.192127,247835.702429
2038,141940.359349,186704.601799,213001.29757,133510.30417,369800.752898,148587.775946,247794.931988
2039,144015.91943,186538.188429,209152.775622,132861.385049,365100.072531,148478.462407,246919.102486
2040,147335.435303,187436.297251,205939.215042,133058.489629,361366.034252,149332.373886,247185.369902
2041,147335.435303,185982.191316,202494.621316,131821.830257,356189.669501,148227.457113,244875.004179
2042,147335.435303,184562.165954,199130.760175,130614.15506,351134.625678,147148.436801,242618.787599
2043,147335.435303,183175.422513,195845.739708,129434.784815,346198.059713,146094.706085,240415.451214
2044,147335.435303,181821.180858,192637.711879,128283.056049,341377.194469,145065.672173,238263.755506
2045,147335.435303,180498.679267,189504.87226,127158.320948,336669.318341,144060.756262,236162.490205
2046,147335.435303,179207.173751,186445.458437,126059.946777,332071.782861,143079.393026,234110.473221
2047,147335.435303,177945.937945,183457.749742,124987.315793,327582.002293,142121.030527,232106.550463
2048,147335.435303,176714.26232,180540.065393,123939.82457,323197.450842,141185.129625,230149.594593
2049,147335.435303,175511.454074,177690.764226,122916.883907,318915.662249,140271.163886,228238.504846
2050,147335.435303,174336.836681,174908.243637,121917.918445,314734.228199,139378.619245,226372.20632
