year,Base case cost,Modeled residential energy efficiency
2017,245237.148367,218396.868563
2018,262901.650635,231568.606338
2019,287926.362183,250538.190952
2020,299702.697029,259117.433362
2021,308044.267545,265014.433592
2022,302091.942963,257053.922092
2023,306335.446283,259725.261975
2024,309635.948864,261678.759566
2025,313879.452183,264379.046149
2026,319065.95624,267825.786547
2027,323309.459559,270553.678899
2028,327081.46251,272928.647135
2029,318256.937838,262509.581657
2030,320970.858552,264062.691022
2031,325946.379862,267363.522059
