year,Base case cost,Modeled non-residential energy efficiency
2017,184051.433752,207848.925554
2018,202128.858892,223722.367759
2019,227738.544507,246604.423563
2020,239790.161266,256929.333813
2021,248326.723138,264013.411021
2022,254854.682216,269253.704446
2023,259374.038501,272649.755338
2024,262889.093389,275132.794941
2025,267408.449674,278565.74449
2026,272932.107356,282948.176733
2027,277451.46364,286416.315643
2028,281468.669227,289435.593385
2029,286490.17621,293403.131157
2030,289503.0804,295523.502177
2031,295026.738082,299988.884142
