year,Base case diesel consumed,Modeled wind power
2019,215391.484553,145667.066649
2020,215181.416132,145456.998229
2021,214831.302098,145106.884194
2022,214551.21087,144826.792966
2023,214201.096835,144476.678932
2024,213850.982801,144126.564897
2025,213430.845959,143706.428055
2026,212870.663504,143146.2456
2027,212240.458241,142516.040338
2028,211540.230172,141815.812268
2029,210980.047716,141255.629813
2030,210349.842454,140625.42455
2031,209509.568771,139785.150867
2032,208389.20386,138664.785956
2033,207198.816142,137474.398239
2034,205938.405617,136213.987714
2035,204748.0179,135023.599996
2036,203557.630182,133833.212278
2037,202437.265271,132712.847367
2038,201246.877553,131522.459649
