year,Base case cost,"Belkovski, belkofski (unnamed stream, site #7) -- unnamed creek","King cove (ram creek, north branch)","King cove (unnamed  creek, sw)","King cove (unnamed creek, ne)",Waterfall creek hydroelectric construction project
2018,480635.312272,,,,,849707.402992
2019,562171.774683,,,,,919513.173671
2020,602507.96517,,,,,953984.018292
2021,627307.402125,1153891.6565,738616.373828,953886.756181,1124603.42794,975079.026278
2022,647944.656827,1170324.83793,758545.076854,970981.252505,1133431.48805,992629.25684
2023,661881.389221,1181318.71903,771985.823075,982438.054035,1139101.78423,1004405.07234
2024,671492.085994,1188827.37916,781242.24401,990277.371619,1142807.8837,1012472.25704
2025,685113.015528,1199505.45741,794367.187372,1001418.37029,1148162.37702,1023932.26968
2026,700344.482927,1211373.66618,809031.813429,1013815.63098,1153946.48875,1036694.11776
2027,713127.93969,1221214.27166,821319.28402,1024119.15688,1158463.5093,1047316.65763
2028,723467.587188,1229031.47519,831233.800512,1032333.14936,1161717.64004,1055804.09064
2029,736320.36653,1238941.40324,843590.593682,1042705.99783,1166303.98317,1066495.95308
2030,744638.442287,1245157.44236,851554.393601,1049252.6944,1168717.46163,1073270.51677
2031,758424.63895,1255580.3804,864773.748924,1060204.68436,1173056.30262,1084587.09412
2032,773123.94632,1266496.02183,878835.359786,1071715.50919,1177127.33485,1096508.07977
2033,787355.50134,1276943.9109,892429.218297,1082758.58167,1180730.61474,1107961.31306
2034,801100.397851,1286905.14146,905536.418301,1093314.99564,1183847.23612,1118927.88785
2035,806707.190524,1290409.8975,910788.935135,1097150.40913,1183549.4315,1122991.16845
2036,822372.825934,1301871.45963,925746.01887,1109273.28616,1187405.87231,1135569.77972
2037,827968.414958,1305365.01202,930987.332055,1113097.49599,1187096.86404,1139621.85667
2038,841211.948171,1314824.87929,943593.168761,1123152.54667,1189712.12212,1150087.06816
2039,851942.34954,1322192.02204,953756.72879,1131048.74134,1190995.16782,1158347.85022
2040,866140.306917,1332185.90614,967246.134491,1141703.94033,1193383.9306,1169458.78345
2041,860339.617591,1326385.21681,961445.445164,1135903.25101,1187583.24127,1163658.09413
2042,854844.227703,1320889.82692,955950.055276,1130407.86112,1182087.85139,1158162.70424
2043,849348.837815,1315394.43704,950454.665389,1124912.47123,1176592.4615,1152667.31435
2044,844158.747365,1310204.34659,945264.574939,1119722.38078,1171402.37105,1147477.2239
2045,838968.656915,1305014.25614,940074.484489,1114532.29033,1166212.2806,1142287.13345
2046,833473.267027,1299518.86625,934579.094601,1109036.90044,1160716.89071,1136791.74356
2047,828283.176578,1294328.7758,929389.004151,1103846.80999,1155526.80026,1131601.65311
2048,823398.385566,1289443.98479,924504.21314,1098962.01898,1150642.00925,1126716.8621
2049,818513.594555,1284559.19378,919619.422128,1094077.22797,1145757.21824,1121832.07109
2050,813934.102981,1279979.7022,915039.930555,1089497.7364,1141177.72667,1117252.57952
