year,annotation,Electricity price ($/kwh)
2015,,0.82
2016,start of forecast,0.61
2017,,0.65
2018,,0.68
2019,,0.73
2020,,0.75
2021,,0.76
2022,,0.77
2023,,0.78
2024,,0.78
2025,,0.79
2026,,0.8
2027,,0.8
2028,,0.81
2029,,0.82
2030,,0.82
2031,,0.83
2032,,0.84
2033,,0.85
2034,,0.86
2035,,0.86
2036,,0.87
2037,,0.88
2038,,0.88
2039,,0.89
2040,,0.9
