year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9770.16356611,6350.60631797
2018,9770.84375916,6351.04844345
2019,9771.47927187,6351.46152672
2020,9772.06890568,6351.84478869
2021,9772.70142195,6352.25592427
2022,9773.32454936,6352.66095709
2023,9774.06646917,6353.14320496
2024,9774.75365392,6353.58987505
2025,9775.29727565,6353.94322917
2026,9775.60404505,6354.14262928
2027,9775.91294524,6354.34341441
2028,9776.038463,6354.42500095
2029,9776.27052103,6354.57583867
2030,9776.48733048,6354.71676481
2031,9776.69794728,6354.85366573
