year,Base case cost,Modeled non-residential energy efficiency
2017,175299.275221,200675.23413
2018,186234.71797,210634.998347
2019,201075.675987,224426.621779
2020,208105.603468,230604.899749
2021,213182.773316,234891.848936
2022,216697.737057,237668.584676
2023,219041.046217,239316.231176
2024,220993.803851,240597.414898
2025,223337.113012,242274.770759
2026,226461.525226,244729.448328
2027,228804.834386,246435.137244
2028,230757.59202,247773.003013
2029,233491.452707,249887.206033
2030,235444.210341,251251.459015
2031,238178.071028,253391.430798
