year,Base case cost,Modeled water and wastewater efficiency
2017,57629.8536161,41110.1444246
2018,61075.6569511,43370.7247807
2019,65752.3824767,46457.9351665
2020,67967.520677,47895.5147901
2021,69567.2390538,48921.4640394
2022,70674.6426814,49618.3482514
2023,71412.7332436,50068.55696
2024,72027.7798786,50437.3174042
2025,72766.0067005,50889.7749214
2026,73750.5531704,51508.5383072
2027,74488.9255209,51963.1840831
2028,75104.3100448,52336.4117593
2029,75965.8223091,52875.5420089
2030,76581.165092,53250.5047238
2031,77442.6971021,53791.4372063
