year,Base case diesel consumed,Modeled non-residential ashp
2017,433987.689611,303791.382728
2018,433987.689611,303791.382728
2019,433987.689611,303791.382728
2020,433987.689611,303791.382728
2021,433987.689611,303791.382728
2022,433987.689611,303791.382728
2023,433987.689611,303791.382728
2024,433987.689611,303791.382728
2025,433987.689611,303791.382728
2026,433987.689611,303791.382728
2027,433987.689611,303791.382728
2028,433987.689611,303791.382728
2029,433987.689611,303791.382728
2030,433987.689611,303791.382728
2031,433987.689611,303791.382728
