year,population
2003,2129.0
2004,1700.0
2005,1889.0
2006,1786.0
2007,1855.0
2008,1148.0
2009,1229.0
2010,1301.0
2011,1325.0
2012,1346.0
2013,1365.0
2014,1382.0
2015,1398.0
2016,1409.0
2017,1422.0
2018,1437.0
2019,1450.0
2020,1462.0
2021,1473.0
2022,1486.0
2023,1495.0
2024,1508.0
2025,1520.0
2026,1530.0
2027,1539.0
2028,1545.0
2029,1560.0
2030,1575.0
2031,1585.0
2032,1587.0
2033,1589.0
2034,1589.0
2035,1590.0
2036,1593.0
2037,1595.0
2038,1596.0
2039,1591.0
2040,1584.0
