year,annotation,Average Load
2003,,475.0
2004,,509.0
2005,,495.0
2006,,539.0
2007,,599.0
2008,,658.0
2009,,547.0
2010,,605.0
2011,,669.0
2012,,776.0
2013,,748.0
2014,start of forecast,742.0
2015,,741.0
2016,,740.0
2017,,740.0
2018,,740.0
2019,,740.0
2020,,740.0
2021,,740.0
2022,,739.0
2023,,739.0
2024,,739.0
2025,,739.0
2026,,739.0
2027,,739.0
2028,,739.0
2029,,741.0
2030,,742.0
2031,,742.0
2032,,742.0
2033,,742.0
2034,,741.0
2035,,741.0
2036,,741.0
2037,,742.0
2038,,743.0
2039,,743.0
2040,,743.0
