year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,39911.15,498089.07,525508.26,80586.89,472904.13,148246.74
2018,44677.22,521968.69,536354.25,80613.76,472904.13,150563.09
2019,51194.7,554646.06,541995.17,80638.49,472904.13,151721.27
2020,54219.61,569727.92,552767.17,80661.92,472904.13,154037.63
2021,56372.14,580410.91,558188.88,80684.94,472904.13,155195.8
2022,57898.97,587951.84,563579.01,80705.94,472904.13,156353.98
2023,59049.82,593607.54,568950.23,80725.38,472904.13,157512.16
2024,59951.51,598006.41,574308.85,80744.96,472904.13,158670.34
2025,61103.1,603662.11,584993.75,80763.59,472904.13,160986.69
2026,62506.63,610574.63,590382.98,80782.56,472904.13,162144.87
2027,63536.16,615601.92,595752.23,80802.11,472904.13,163303.05
2028,64566.91,620629.21,601122.49,80821.9,472904.13,164461.22
2029,65845.81,626913.32,606508.28,80839.23,472904.13,165619.4
2030,66498.86,630055.37,611858.74,80856.92,472904.13,166777.58
2031,67907.33,636967.89,617254.14,80875.83,472904.13,167935.76
2032,69321.89,643880.41,622650.94,80897.97,472904.13,169093.93
2033,70739.22,650792.93,633365.42,80921.03,472904.13,171410.29
2034,72158.38,657705.45,638765.72,80944.35,472904.13,172568.47
2035,73201.32,662732.74,649461.79,80967.48,472904.13,174884.82
2036,74621.45,669645.26,654865.4,80989.78,472904.13,176043.0
2037,75538.37,674044.14,660238.83,81011.5,472904.13,177201.18
2038,77087.77,681585.07,665652.93,81034.31,472904.13,178359.36
2039,78262.45,687240.77,676364.46,81058.2,472904.13,180675.71
2040,79818.54,694781.7,681782.19,81083.19,472904.13,181833.89
